quando	zona	sha256	nome_vecchio	testo
2026-08-01T10:29:52	Addominali e Core	2df8d077c4a0b75604588ace71a89290d1bf034313fd35aa8be58ebbe7250e45	Forbice panca seduto (Seated Bench Flutter Kick).gif	Crunch Forbice panca seduto
2026-08-01T10:29:54	Addominali e Core	2df8d077c4a0b75604588ace71a89290d1bf034313fd35aa8be58ebbe7250e45	Forbice panca seduto (Seated Bench Flutter Kick).gif	Crunch fForbice panca seduto
2026-08-01T10:29:55	Addominali e Core	2df8d077c4a0b75604588ace71a89290d1bf034313fd35aa8be58ebbe7250e45	Forbice panca seduto (Seated Bench Flutter Kick).gif	Crunch forbice panca seduto
2026-08-01T10:29:58	Addominali e Core	2df8d077c4a0b75604588ace71a89290d1bf034313fd35aa8be58ebbe7250e45	Forbice panca seduto (Seated Bench Flutter Kick).gif	Crunch forbice seduto
2026-08-01T10:30:00	Addominali e Core	2df8d077c4a0b75604588ace71a89290d1bf034313fd35aa8be58ebbe7250e45	Forbice panca seduto (Seated Bench Flutter Kick).gif	Crunch forbice seduto 
2026-08-01T10:30:01	Addominali e Core	2df8d077c4a0b75604588ace71a89290d1bf034313fd35aa8be58ebbe7250e45	Forbice panca seduto (Seated Bench Flutter Kick).gif	Crunch forbice seduto panca
2026-08-01T10:30:02	Addominali e Core	2df8d077c4a0b75604588ace71a89290d1bf034313fd35aa8be58ebbe7250e45	Forbice panca seduto (Seated Bench Flutter Kick).gif	Crunch forbice seduto panca piana
2026-08-01T10:30:27	Addominali e Core	ad2db7969fad6aa61848e1e6bc2dff9bb05fa52719dea032159b5ca6a38b57b2	Inchworm.gif	PlanInchworm
2026-08-01T10:30:28	Addominali e Core	ad2db7969fad6aa61848e1e6bc2dff9bb05fa52719dea032159b5ca6a38b57b2	Inchworm.gif	Plank Inchworm
2026-08-01T10:30:30	Addominali e Core	ad2db7969fad6aa61848e1e6bc2dff9bb05fa52719dea032159b5ca6a38b57b2	Inchworm.gif	Plank nchworm
2026-08-01T10:30:30	Addominali e Core	ad2db7969fad6aa61848e1e6bc2dff9bb05fa52719dea032159b5ca6a38b57b2	Inchworm.gif	Plank inchworm
2026-08-01T10:31:03	Addominali e Core	768cb89cba3e3c620edf8ed8649fd89346bcd42565b5fc48db6f502dc7838a68	Knee Raise Power Tower (Power Tower Knee Raise).gif	Sollevamento  power tower
2026-08-01T10:31:05	Addominali e Core	768cb89cba3e3c620edf8ed8649fd89346bcd42565b5fc48db6f502dc7838a68	Knee Raise Power Tower (Power Tower Knee Raise).gif	Sollevamento gameb power tower
2026-08-01T10:31:06	Addominali e Core	768cb89cba3e3c620edf8ed8649fd89346bcd42565b5fc48db6f502dc7838a68	Knee Raise Power Tower (Power Tower Knee Raise).gif	Sollevamento gam power tower
2026-08-01T10:31:07	Addominali e Core	768cb89cba3e3c620edf8ed8649fd89346bcd42565b5fc48db6f502dc7838a68	Knee Raise Power Tower (Power Tower Knee Raise).gif	Sollevamento gambe tese power tower
2026-08-01T10:31:32	Addominali e Core	fcd8aeea97c55cf7ccb887c6cc5fab69f453ca3e6d5f65398df8ea77e8bae055	Knee Raise sbarra in sospensione (Hanging Knee Raise).gif	Sollevam in sospensione
2026-08-01T10:31:34	Addominali e Core	fcd8aeea97c55cf7ccb887c6cc5fab69f453ca3e6d5f65398df8ea77e8bae055	Knee Raise sbarra in sospensione (Hanging Knee Raise).gif	Sollevamento gam in sospensione
2026-08-01T10:31:37	Addominali e Core	fcd8aeea97c55cf7ccb887c6cc5fab69f453ca3e6d5f65398df8ea77e8bae055	Knee Raise sbarra in sospensione (Hanging Knee Raise).gif	Sollevamento gambe  in sospensione
2026-08-01T10:31:44	Addominali e Core	fcd8aeea97c55cf7ccb887c6cc5fab69f453ca3e6d5f65398df8ea77e8bae055	Knee Raise sbarra in sospensione (Hanging Knee Raise).gif	Sollevamento gambe piegate in sospensione
2026-08-01T10:35:00	Addominali e Core	385d984e4c4a85e50f92ea7f643e227539ceaf552beb10aaaef010b6995a9776	Piegamenti tocco incrociato (Cross body tap push up).gif	Piegamenti tocco incrociato spalla
2026-08-01T10:35:13	Addominali e Core	8cef3d0b8fef7f15d455e34aae7a74ffdc40dd430850a04def2c3a4766266388	Pike fitball (Fitball Pike).gif	Plank ike fitball
2026-08-01T10:35:14	Addominali e Core	8cef3d0b8fef7f15d455e34aae7a74ffdc40dd430850a04def2c3a4766266388	Pike fitball (Fitball Pike).gif	Plank pike fitball
2026-08-01T10:35:42	Addominali e Core	505dc2161792df03d74455fa36bd2cd108e3c901df0706580e2cda9d10d7f9b0	Plank avanti indietro avambracci (Forearm Body Saw Plank).gif	Plank avanti indietro
2026-08-01T10:35:48	Addominali e Core	505dc2161792df03d74455fa36bd2cd108e3c901df0706580e2cda9d10d7f9b0	Plank avanti indietro avambracci (Forearm Body Saw Plank).gif	Plank avambracciavanti indietro
2026-08-01T10:35:49	Addominali e Core	505dc2161792df03d74455fa36bd2cd108e3c901df0706580e2cda9d10d7f9b0	Plank avanti indietro avambracci (Forearm Body Saw Plank).gif	Plank avambracci avanti indietro
2026-08-01T10:35:55	Addominali e Core	505dc2161792df03d74455fa36bd2cd108e3c901df0706580e2cda9d10d7f9b0	Plank avanti indietro avambracci (Forearm Body Saw Plank).gif	Plank avambracci avanti-indietro
2026-08-01T10:53:42	Addominali e Core	4b30aadc0b8215eccf0bc8c5a2e7690dcff98da9b837b44b02045e1d242a053b	Plank Spider avambracci (Spider Plank on Forearms).gif	Plank spider
2026-08-01T10:54:49	Addominali e Core	f091bb852bb3acc0048f2ecab0fdda74f3c2372f71e42fbc37755458b775b9a2	Retroversione bacino supino.gif	Retroversione bacino supino
2026-08-01T10:59:18	Addominali e Core	f091bb852bb3acc0048f2ecab0fdda74f3c2372f71e42fbc37755458b775b9a2	Retroversione bacino supino.gif	Crunch 
2026-08-01T10:59:23	Addominali e Core	f091bb852bb3acc0048f2ecab0fdda74f3c2372f71e42fbc37755458b775b9a2	Retroversione bacino supino.gif	Crunch reverse
2026-08-01T11:00:46	Addominali e Core	0f317c495953d7c3c0734907f4750b9d6862cbdbdc42f50b7ef8ae2ffcf672d6	Rollout ab wheel in ginocchio (Kneeling Ab-Wheel Rollout).gif	Rollout ab-wheel in ginocchio
2026-08-01T11:00:48	Addominali e Core	0f317c495953d7c3c0734907f4750b9d6862cbdbdc42f50b7ef8ae2ffcf672d6	Rollout ab wheel in ginocchio (Kneeling Ab-Wheel Rollout).gif	Rollout abwheel in ginocchio
2026-08-01T11:00:48	Addominali e Core	0f317c495953d7c3c0734907f4750b9d6862cbdbdc42f50b7ef8ae2ffcf672d6	Rollout ab wheel in ginocchio (Kneeling Ab-Wheel Rollout).gif	Rollout ab wheel in ginocchio
2026-08-01T11:03:59	Addominali e Core	8713086357a9ac26efaf1443a2c3b0c1b0617ff15bc0ef2f48519031e70050b7	Sit-Up mani dietro testa ginocchia flesse (Sit-Up Hands Behind Head Bent Knees).gif	Sit-up mani dietro testa
2026-08-01T11:04:11	Addominali e Core	8713086357a9ac26efaf1443a2c3b0c1b0617ff15bc0ef2f48519031e70050b7	Sit-Up mani dietro testa ginocchia flesse (Sit-Up Hands Behind Head Bent Knees).gif	Sit-up mani alla  testa
2026-08-01T11:04:12	Addominali e Core	8713086357a9ac26efaf1443a2c3b0c1b0617ff15bc0ef2f48519031e70050b7	Sit-Up mani dietro testa ginocchia flesse (Sit-Up Hands Behind Head Bent Knees).gif	Sit-up mani alla nuca testa
2026-08-01T11:04:14	Addominali e Core	8713086357a9ac26efaf1443a2c3b0c1b0617ff15bc0ef2f48519031e70050b7	Sit-Up mani dietro testa ginocchia flesse (Sit-Up Hands Behind Head Bent Knees).gif	Sit-up mani alla nucata
2026-08-01T11:04:15	Addominali e Core	8713086357a9ac26efaf1443a2c3b0c1b0617ff15bc0ef2f48519031e70050b7	Sit-Up mani dietro testa ginocchia flesse (Sit-Up Hands Behind Head Bent Knees).gif	Sit-up mani alla nucaa
2026-08-01T11:04:17	Addominali e Core	8713086357a9ac26efaf1443a2c3b0c1b0617ff15bc0ef2f48519031e70050b7	Sit-Up mani dietro testa ginocchia flesse (Sit-Up Hands Behind Head Bent Knees).gif	Sit-up mani alla nuca
2026-08-01T11:04:52	Addominali e Core	b5a55976308a5e698b85ead5d33d558dc8784f8bc2f5398569bdfb5484f72522	Sit-Up panca declinata (Decline Bench Sit-Up).gif	Sit-up mani alla npanca declinata
2026-08-01T11:04:53	Addominali e Core	b5a55976308a5e698b85ead5d33d558dc8784f8bc2f5398569bdfb5484f72522	Sit-Up panca declinata (Decline Bench Sit-Up).gif	Sit-up mani alla nuca panca declinata
2026-08-01T11:05:41	Addominali e Core	aced220144894a63b2de5685e428d5744ce5393c5fb58fb49bc339fb4d06661e	V-Sit sforbiciata verticale (V-Sit Vertical Scissor).gif	V-sit sforbiciata
2026-08-01T11:06:24	Addominali e Core	1dcff63c2650851199baecae9f1a53b1e8379d880a41fff289f0b371050c1867	V-Up scambio fitball (Fitball Pass V-Up).gif	V-up con fitball
2026-08-01T11:06:29	Addominali e Core	1dcff63c2650851199baecae9f1a53b1e8379d880a41fff289f0b371050c1867	V-Up scambio fitball (Fitball Pass V-Up).gif	V-up  fitball
2026-08-01T11:06:30	Addominali e Core	1dcff63c2650851199baecae9f1a53b1e8379d880a41fff289f0b371050c1867	V-Up scambio fitball (Fitball Pass V-Up).gif	V-up fitball
2026-08-01T14:13:42	Addominali e Core	f091bb852bb3acc0048f2ecab0fdda74f3c2372f71e42fbc37755458b775b9a2	Retroversione bacino supino.gif	Retroversione bacino da supino
2026-08-01T18:55:44	Bicipiti e Braccia	0c88aa9fafdaab6791e084af8e7c0b0cfcc8b9db51f03bbefff476e155809d94	Curl bilanciere dritto Arm Blaster in piedi (Standing Arm Blaster Barbell Simultaneous Curl).gif	Curl bilanciere dritto arm blaster in 
2026-08-01T18:55:46	Bicipiti e Braccia	0c88aa9fafdaab6791e084af8e7c0b0cfcc8b9db51f03bbefff476e155809d94	Curl bilanciere dritto Arm Blaster in piedi (Standing Arm Blaster Barbell Simultaneous Curl).gif	Curl bilanciere dritto arm blaster in piedi
2026-08-01T19:01:45	Bicipiti e Braccia	0c88aa9fafdaab6791e084af8e7c0b0cfcc8b9db51f03bbefff476e155809d94	Curl bilanciere dritto Arm Blaster in piedi (Standing Arm Blaster Barbell Simultaneous Curl).gif	Curl bilanciere arm blaster in piedi
2026-08-01T19:02:53	Bicipiti e Braccia	ebc7b3bc992c0414df39ef1890b33ee5f2c87ea78862aa030ec46419bc28cceb	Curl bilanciere dritto in piedi (Barbell Curl).gif	Curl bilanciere in piedi
2026-08-01T19:11:02	Bicipiti e Braccia	8ca2bd71da1a64e6a123b0d9f443a43a06678f1ea3f6ed37261363a3dbb21452	Curl bilanciere dritto panca Scott (Barbell Preacher Simultaneous Curl).gif	Curl bilanciere panca Scott
2026-08-01T19:11:10	Bicipiti e Braccia	2c2d5aab8f92541b31ae92e377d4821e2ed3b5573c18a2776e3040b741707e7c	Curl bilanciere dritto presa larga in piedi (Wide-Grip Barbell Curl).gif	Curl bilanciere presa larga in piedi
2026-08-01T19:12:54	Bicipiti e Braccia	735ec1518f5ee1cea040bd10ac19f06f9bcdd2df6d6f76e60214a1a4a4551d70	Curl bilanciere dritto presa stretta in piedi (Close-Grip Barbell Curl).gif	Curl bilanciere presa stretta in piedi
2026-08-01T19:15:09	Bicipiti e Braccia	5d1b1a9961c14988e329b6ba81455b24052ffc17ff9f97e71e844e8cd8d609fa	Curl bilanciere EZ panca Scott (Barbell Preacher Simultaneous Curl).gif	Curl bilanciere EZ panca Scott 
2026-08-01T19:15:11	Bicipiti e Braccia	5d1b1a9961c14988e329b6ba81455b24052ffc17ff9f97e71e844e8cd8d609fa	Curl bilanciere EZ panca Scott (Barbell Preacher Simultaneous Curl).gif	Curl bilanciere EZ panca Scott sedut
2026-08-01T19:15:12	Bicipiti e Braccia	5d1b1a9961c14988e329b6ba81455b24052ffc17ff9f97e71e844e8cd8d609fa	Curl bilanciere EZ panca Scott (Barbell Preacher Simultaneous Curl).gif	Curl bilanciere EZ panca Scott seduto
2026-08-01T19:20:20	Bicipiti e Braccia	0c88aa9fafdaab6791e084af8e7c0b0cfcc8b9db51f03bbefff476e155809d94	Curl bilanciere dritto Arm Blaster in piedi (Standing Arm Blaster Barbell Simultaneous Curl).gif	Curl bilanciere arm blaster 
2026-08-01T19:20:20	Bicipiti e Braccia	0c88aa9fafdaab6791e084af8e7c0b0cfcc8b9db51f03bbefff476e155809d94	Curl bilanciere dritto Arm Blaster in piedi (Standing Arm Blaster Barbell Simultaneous Curl).gif	Curl bilanciere arm blaster
2026-08-01T19:20:40	Bicipiti e Braccia	ebc7b3bc992c0414df39ef1890b33ee5f2c87ea78862aa030ec46419bc28cceb	Curl bilanciere dritto in piedi (Barbell Curl).gif	Curl bilanciere 
2026-08-01T19:20:41	Bicipiti e Braccia	ebc7b3bc992c0414df39ef1890b33ee5f2c87ea78862aa030ec46419bc28cceb	Curl bilanciere dritto in piedi (Barbell Curl).gif	Curl bilanciere
2026-08-01T19:20:55	Bicipiti e Braccia	8ca2bd71da1a64e6a123b0d9f443a43a06678f1ea3f6ed37261363a3dbb21452	Curl bilanciere dritto panca Scott (Barbell Preacher Simultaneous Curl).gif	Curl bilanciere panca Scott seduto
2026-08-01T19:21:14	Bicipiti e Braccia	2c2d5aab8f92541b31ae92e377d4821e2ed3b5573c18a2776e3040b741707e7c	Curl bilanciere dritto presa larga in piedi (Wide-Grip Barbell Curl).gif	Curl bilanciere presa larga i
2026-08-01T19:21:14	Bicipiti e Braccia	2c2d5aab8f92541b31ae92e377d4821e2ed3b5573c18a2776e3040b741707e7c	Curl bilanciere dritto presa larga in piedi (Wide-Grip Barbell Curl).gif	Curl bilanciere presa larga 
2026-08-01T19:21:16	Bicipiti e Braccia	2c2d5aab8f92541b31ae92e377d4821e2ed3b5573c18a2776e3040b741707e7c	Curl bilanciere dritto presa larga in piedi (Wide-Grip Barbell Curl).gif	Curl bilanciere presa larga
2026-08-01T19:21:34	Bicipiti e Braccia	735ec1518f5ee1cea040bd10ac19f06f9bcdd2df6d6f76e60214a1a4a4551d70	Curl bilanciere dritto presa stretta in piedi (Close-Grip Barbell Curl).gif	Curl bilanciere presa stretta i
2026-08-01T19:21:35	Bicipiti e Braccia	735ec1518f5ee1cea040bd10ac19f06f9bcdd2df6d6f76e60214a1a4a4551d70	Curl bilanciere dritto presa stretta in piedi (Close-Grip Barbell Curl).gif	Curl bilanciere presa stretta
2026-08-01T19:22:33	Bicipiti e Braccia	71fff98ef25b8091febeea6523349ccb281f0c40d42fa6724089a4741315bb5b	Curl bilanciere EZ in piedi (EZ-Bar Curl).gif	Curl bilanciere EZ in p
2026-08-01T19:22:34	Bicipiti e Braccia	71fff98ef25b8091febeea6523349ccb281f0c40d42fa6724089a4741315bb5b	Curl bilanciere EZ in piedi (EZ-Bar Curl).gif	Curl bilanciere EZ i
2026-08-01T19:22:35	Bicipiti e Braccia	71fff98ef25b8091febeea6523349ccb281f0c40d42fa6724089a4741315bb5b	Curl bilanciere EZ in piedi (EZ-Bar Curl).gif	Curl bilanciere EZ
2026-08-01T19:29:19	Bicipiti e Braccia	96c66cf7f277d0cb6cc20c5c78590dcd0a1ea019a82faace4cd271bda63b545b	Curl bilaterale simultaneo su panca inclinata con manubri (Simultaneous bilateral incline dumbbell curl).gif	Curl su panca inclinata con
2026-08-01T19:29:21	Bicipiti e Braccia	96c66cf7f277d0cb6cc20c5c78590dcd0a1ea019a82faace4cd271bda63b545b	Curl bilaterale simultaneo su panca inclinata con manubri (Simultaneous bilateral incline dumbbell curl).gif	Curl su panca inclinata 
2026-08-01T19:29:21	Bicipiti e Braccia	96c66cf7f277d0cb6cc20c5c78590dcd0a1ea019a82faace4cd271bda63b545b	Curl bilaterale simultaneo su panca inclinata con manubri (Simultaneous bilateral incline dumbbell curl).gif	Curl su panca inclinata
2026-08-01T19:29:25	Bicipiti e Braccia	96c66cf7f277d0cb6cc20c5c78590dcd0a1ea019a82faace4cd271bda63b545b	Curl bilaterale simultaneo su panca inclinata con manubri (Simultaneous bilateral incline dumbbell curl).gif	Curl manubrisu panca inclinata
2026-08-01T19:29:26	Bicipiti e Braccia	96c66cf7f277d0cb6cc20c5c78590dcd0a1ea019a82faace4cd271bda63b545b	Curl bilaterale simultaneo su panca inclinata con manubri (Simultaneous bilateral incline dumbbell curl).gif	Curl manubri su panca inclinata
2026-08-01T19:29:34	Bicipiti e Braccia	96c66cf7f277d0cb6cc20c5c78590dcd0a1ea019a82faace4cd271bda63b545b	Curl bilaterale simultaneo su panca inclinata con manubri (Simultaneous bilateral incline dumbbell curl).gif	Curl manubri panca inclinata
2026-08-01T19:31:11	Bicipiti e Braccia	156c320ed56703816ea9002dd2c8b14b100b17328ddb2bba05806413caf4b74b	Curl cavi alti in piedi croce (Standing High Cable Simultaneous Crucifix Curl).gif	Curl cavi alti
2026-08-01T19:31:15	Bicipiti e Braccia	156c320ed56703816ea9002dd2c8b14b100b17328ddb2bba05806413caf4b74b	Curl cavi alti in piedi croce (Standing High Cable Simultaneous Crucifix Curl).gif	Curl croce cavi alti
2026-08-01T19:32:08	Bicipiti e Braccia	e63cb4fc0ec9b6b970b36a5c273eb14d91cc7f88a38b759cb2afd97ce5a16648	Curl cavi bassi panca inclinata supino (Incline Bench Supine Cable Simultaneous Curl).gif	Curl cavi bassi panca inclinata
2026-08-01T19:33:16	Bicipiti e Braccia	e63cb4fc0ec9b6b970b36a5c273eb14d91cc7f88a38b759cb2afd97ce5a16648	Curl cavi bassi panca inclinata supino (Incline Bench Supine Cable Simultaneous Curl).gif	Curl croccavi bassi panca inclinata
2026-08-01T19:33:19	Bicipiti e Braccia	e63cb4fc0ec9b6b970b36a5c273eb14d91cc7f88a38b759cb2afd97ce5a16648	Curl cavi bassi panca inclinata supino (Incline Bench Supine Cable Simultaneous Curl).gif	Curl croci cavi bassi panca inclinata
2026-08-01T19:33:25	Bicipiti e Braccia	156c320ed56703816ea9002dd2c8b14b100b17328ddb2bba05806413caf4b74b	Curl cavi alti in piedi croce (Standing High Cable Simultaneous Crucifix Curl).gif	Curl croc cavi alti
2026-08-01T19:33:26	Bicipiti e Braccia	156c320ed56703816ea9002dd2c8b14b100b17328ddb2bba05806413caf4b74b	Curl cavi alti in piedi croce (Standing High Cable Simultaneous Crucifix Curl).gif	Curl croci cavi alti
2026-08-01T19:34:09	Bicipiti e Braccia	a07daa162b0b00bd1f16d18cb4081cb0d19d48338940440f97ddacd6b30e0672	Curl cavo alto barra dritta panca piana supino (Lying Flat Bench Cable Straight-Bar Simultaneous Curl).gif	Curl dritta panca piana supino
2026-08-01T19:34:30	Bicipiti e Braccia	a07daa162b0b00bd1f16d18cb4081cb0d19d48338940440f97ddacd6b30e0672	Curl cavo alto barra dritta panca piana supino (Lying Flat Bench Cable Straight-Bar Simultaneous Curl).gif	Curl cavo alto barra dritta panca piana supino
