quando	zona	codice	nome_catalogo	slug_vecchio	slug_nuovo	nome_file_nuovo	sha256
2026-08-01T10:53:45	Addominali e Core	EX174	Plank spider avambracci	plank-spider-avambracci	plank-spider	Plank spider.gif	4b30aadc0b8215eccf0bc8c5a2e7690dcff98da9b837b44b02045e1d242a053b
2026-08-01T10:54:20	Addominali e Core	EX622	Piegamenti con rotazione a T		piegamenti-con-rotazione-a-t	Piegamenti con rotazione a T.gif	a1e9102505f3dbaafea28c77da841f7495428e2cdc5a66e6e9215d30544c4907
2026-08-01T11:00:27	Addominali e Core	EX623	Retroversione bacino da supino		crunch-reverse	Crunch reverse.gif	f091bb852bb3acc0048f2ecab0fdda74f3c2372f71e42fbc37755458b775b9a2
2026-08-01T11:04:22	Addominali e Core	EX187	Sit-up mani dietro testa ginocchia flesse	sit-up-mani-dietro-testa-ginocchia-flesse	sit-up-mani-alla-nuca	Sit-up mani alla nuca.gif	8713086357a9ac26efaf1443a2c3b0c1b0617ff15bc0ef2f48519031e70050b7
2026-08-01T11:04:58	Addominali e Core	EX186	Sit-up panca declinata	sit-up-panca-declinata	sit-up-mani-alla-nuca-panca-declinata	Sit-up mani alla nuca panca declinata.gif	b5a55976308a5e698b85ead5d33d558dc8784f8bc2f5398569bdfb5484f72522
2026-08-01T11:06:35	Addominali e Core	EX194	V-up scambio fitball	v-up-scambio-fitball	v-up-fitball	V-up fitball.gif	1dcff63c2650851199baecae9f1a53b1e8379d880a41fff289f0b371050c1867
2026-08-01T11:08:22	Addominali e Core	EX191	V-sit sforbiciata verticale	v-sit-sforbiciata-verticale	v-sit-sforbiciata	V-sit sforbiciata.gif	aced220144894a63b2de5685e428d5744ce5393c5fb58fb49bc339fb4d06661e
2026-08-01T14:13:46	Addominali e Core	EX623	Retroversione bacino da supino		retroversione-bacino-da-supino	Retroversione bacino da supino.gif	f091bb852bb3acc0048f2ecab0fdda74f3c2372f71e42fbc37755458b775b9a2
2026-08-01T19:01:49	Bicipiti e Braccia	EX007	Curl bilanciere dritto arm blaster	curl-bilanciere-dritto-arm-blaster	curl-bilanciere-arm-blaster-in-piedi	Curl bilanciere arm blaster in piedi.gif	0c88aa9fafdaab6791e084af8e7c0b0cfcc8b9db51f03bbefff476e155809d94
2026-08-01T19:11:05	Bicipiti e Braccia	EX005	Curl bilanciere dritto panca Scott	curl-bilanciere-dritto-panca-scott	curl-bilanciere-panca-scott	Curl bilanciere panca Scott.gif	8ca2bd71da1a64e6a123b0d9f443a43a06678f1ea3f6ed37261363a3dbb21452
2026-08-01T19:20:23	Bicipiti e Braccia	EX007	Curl bilanciere dritto arm blaster	curl-bilanciere-dritto-arm-blaster	curl-bilanciere-arm-blaster	Curl bilanciere arm blaster.gif	0c88aa9fafdaab6791e084af8e7c0b0cfcc8b9db51f03bbefff476e155809d94
2026-08-01T19:20:42	Bicipiti e Braccia	EX024	Curl bilanciere dritto in piedi	curl-bilanciere-dritto-in-piedi	curl-bilanciere	Curl bilanciere.gif	ebc7b3bc992c0414df39ef1890b33ee5f2c87ea78862aa030ec46419bc28cceb
2026-08-01T19:20:58	Bicipiti e Braccia	EX005	Curl bilanciere dritto panca Scott	curl-bilanciere-dritto-panca-scott	curl-bilanciere-panca-scott-seduto	Curl bilanciere panca Scott seduto.gif	8ca2bd71da1a64e6a123b0d9f443a43a06678f1ea3f6ed37261363a3dbb21452
2026-08-01T19:22:37	Bicipiti e Braccia	EX271	Curl bilanciere EZ in piedi	curl-bilanciere-ez-in-piedi	curl-bilanciere-ez	Curl bilanciere EZ.gif	71fff98ef25b8091febeea6523349ccb281f0c40d42fa6724089a4741315bb5b
2026-08-01T19:23:37	Bicipiti e Braccia	EX294	Curl bilanciere EZ panca Scott	curl-bilanciere-ez-panca-scott	curl-bilanciere-ez-panca-scott-seduto	Curl bilanciere EZ panca Scott seduto.gif	5d1b1a9961c14988e329b6ba81455b24052ffc17ff9f97e71e844e8cd8d609fa
2026-08-01T19:31:20	Bicipiti e Braccia	EX300	Curl cavi alti croce	curl-cavi-alti-croce	curl-croce-cavi-alti	Curl croce cavi alti.gif	156c320ed56703816ea9002dd2c8b14b100b17328ddb2bba05806413caf4b74b
2026-08-01T19:33:34	Bicipiti e Braccia	EX301	Curl cavi bassi panca inclinata supino	curl-cavi-bassi-panca-inclinata-supino	curl-croci-cavi-bassi-panca-inclinata	Curl croci cavi bassi panca inclinata.gif	e63cb4fc0ec9b6b970b36a5c273eb14d91cc7f88a38b759cb2afd97ce5a16648
2026-08-01T19:35:58	Bicipiti e Braccia	EX302	Curl cavo alto barra dritta panca piana supino	curl-cavo-alto-barra-dritta-panca-piana-supino	curl-barra-cavo-medio-panca-piana	Curl barra cavo medio panca piana.gif	a07daa162b0b00bd1f16d18cb4081cb0d19d48338940440f97ddacd6b30e0672
2026-08-01T19:45:48	Bicipiti e Braccia	EX302	Curl cavo alto barra dritta panca piana supino	curl-cavo-alto-barra-dritta-panca-piana-supino	curl-barra-cavo-panca-piana	Curl barra cavo panca piana.gif	a07daa162b0b00bd1f16d18cb4081cb0d19d48338940440f97ddacd6b30e0672
2026-08-01T19:46:08	Bicipiti e Braccia	EX303	Curl cavo alto barra EZ	curl-cavo-alto-barra-ez	curl-cavo-barra-ez	Curl cavo barra EZ.gif	2a71887e548d59adefbafbd6415b3b1f09fcc92de3b79e974de6078a96bd8829
2026-08-01T19:47:25	Bicipiti e Braccia	EX306	Curl cavo basso panca inclinata supino	curl-cavo-basso-panca-inclinata-supino	curl-cavo-basso-panca-inclinata	Curl cavo basso panca inclinata.gif	592b046e71777ef5d512d6f6a05451e9ddc7a5ffe9cb3dc445766708ae1da1d5
2026-08-01T19:53:00	Bicipiti e Braccia	EX305	Curl cavo basso squat	curl-cavo-basso-squat	curl-squat-cavo-basso	Curl squat cavo basso.gif	85d258c5e5c3cbdb7fdbb7b9c4b2a43019a0f6dad6d952b95cbf2cb51fbd0ae0
2026-08-01T19:53:36	Bicipiti e Braccia	EX060	Curl hammer manubri alternato in piedi	curl-hammer-manubri-alternato-in-piedi	curl-hammer-manubri-alternato	Curl hammer manubri alternato.gif	7cd4e155d595c80c57a3adb1d4bbef4b6da3c2017b11df124c3558618fc59ffb
2026-08-01T20:49:00	Bicipiti e Braccia	EX308	Curl hammer cavo basso corda	curl-hammer-cavo-basso-corda	curl-hammer-corda-cavo-basso	Curl hammer corda cavo basso.gif	de137d952cb7d7f78f1ab87fe83f13dd1d299c30aa1718ff6f93eb49d1e7735a
2026-08-01T20:50:20	Bicipiti e Braccia	EX321	Curl hammer manubri in piedi	curl-hammer-manubri-in-piedi	curl-hammer-manubri	Curl hammer manubri.gif	c6b181e1adbbb8acce7236b96dfd05c964dccfaa40fce7946a7ee068e0f96210
2026-08-01T21:02:42	Bicipiti e Braccia	EX328	Curl hammer corda cavo basso un braccio	curl-hammer-corda-cavo-basso-un-braccio	curl-hammer-un-braccio-corda-cavo	Curl hammer un braccio corda cavo.gif	d09ec79df469cad51460a346f0a94d12e47fa8d91991190fd8a83f3be3e87183
2026-08-01T21:10:37	Bicipiti e Braccia	EX330	Curl hammer manubri un braccio seduto	curl-hammer-manubri-un-braccio-seduto	curl-hammer-manubri-un-braccio-panca-verticale	Curl hammer manubri un braccio panca verticale.gif	71e519e3de662dba66ea6fb2fbf58d27223cc73ac630952ed3cd8039232193fa
2026-08-01T21:14:01	Bicipiti e Braccia	EX311	Curl macchina seduto	curl-macchina-seduto	curl-macchina	Curl macchina.gif	b23dd5572648bf8d41829c8cd43e1af4d054dc54f2f300afe95cf3d90aaf326b
2026-08-01T21:14:32	Bicipiti e Braccia	EX092	Curl manubri alternato in piedi	curl-manubri-alternato-in-piedi	curl-alternato-manubri	Curl alternato manubri.gif	3151e8bf9d7d504b8d0147439783b832cdc0da584d99212ddfc82bcca47d6639
2026-08-01T21:15:55	Bicipiti e Braccia	EX061	Curl manubri alternato panca Scott	curl-manubri-alternato-panca-scott	curl-alternato-manubri-panca-scott	Curl alternato manubri panca Scott.gif	aabda92b172af018ede93d3432afb7c4ee1479bd0eb6f0ca18733f9be3a91f6a
2026-08-01T21:16:15	Bicipiti e Braccia	EX313	Curl manubri diagonale	curl-manubri-diagonale	curl-diagonale-manubri	Curl diagonale manubri.gif	a4eb3d58794d295b5e1fa8d9fbfd03460895cb37f5ec4dfc1277c6d2de516f50
2026-08-01T21:17:12	Bicipiti e Braccia	EX316	Curl manubri presa inversa	curl-manubri-presa-inversa	curl-presa-inversa-manubri	Curl presa inversa manubri.gif	12f9544b7683c6cd305b7b9ae6bbb43ad4931238372e206e002659c04a439923
2026-08-01T21:18:16	Bicipiti e Braccia	EX312	Curl manubri Zottman seduto	curl-manubri-zottman-seduto	curl-zottman-manubri-seduto	Curl Zottman manubri seduto.gif	5c5c14f9516abfa8acb509b0459238674976d2932e3555485ec5894159b86541
2026-08-01T21:22:01	Bicipiti e Braccia	EX324	Curl cavo alto un braccio	curl-cavo-alto-un-braccio	curl-un-braccio-cavo-alto	Curl un braccio cavo alto.gif	51bdbf003b2beb01529f2070ce19e30d527fb4bb11a81c68050d061110b6e8de
2026-08-01T21:22:49	Bicipiti e Braccia	EX325	Curl cavo basso un braccio dietro schiena	curl-cavo-basso-un-braccio-dietro-schiena	curl-un-braccio-dietro-schiena-cavo-basso	Curl un braccio dietro schiena cavo basso.gif	e7f4a84a29ab9ce26dbe4f602e3709a188e946ed73676f3846ed1ba69154615b
2026-08-01T21:23:44	Bicipiti e Braccia	EX326	Curl cavo basso un braccio panca Scott	curl-cavo-basso-un-braccio-panca-scott	curl-un-braccio-panca-scott-cavo-basso	Curl un braccio panca Scott cavo basso.gif	a827b3a82de603f2017cc296a30012f5b7d8c70af6e2a255fd25917a8227035d
2026-08-01T21:26:53	Bicipiti e Braccia	EX331	Curl manubri un braccio panca inclinata prono	curl-manubri-un-braccio-panca-inclinata-prono	curl-manubri-un-braccio-panca-inclinata	Curl manubri un braccio panca inclinata.gif	5f37b581eb891c314b5e47b8a9fee19eb532c244694e00ffdcc0f437429150c1
2026-08-01T21:27:17	Bicipiti e Braccia	EX331	Curl manubri un braccio panca inclinata prono	curl-manubri-un-braccio-panca-inclinata-prono	curl-un-braccio-manubrio-panca-inclinata	Curl un braccio manubrio panca inclinata.gif	5f37b581eb891c314b5e47b8a9fee19eb532c244694e00ffdcc0f437429150c1
2026-08-01T21:27:53	Bicipiti e Braccia	EX332	Curl manubri un braccio panca Scott	curl-manubri-un-braccio-panca-scott	curl-un-braccio-manubrio-panca-scott-seduto	Curl un braccio manubrio panca Scott seduto.gif	8899aec14507cb87c4366d67cf58d3bac65f1468eaeb7df9e3ee866d6cf5e29e
2026-08-01T21:28:41	Bicipiti e Braccia	EX333	Curl manubri un braccio panca Scott in piedi	curl-manubri-un-braccio-panca-scott-in-piedi	curl-un-braccio-manubrio-panca-scott-in-piedi	Curl un braccio manubrio panca Scott in piedi.gif	e6b380b854853346471dd3f5b6465192ab78650cdcf6084e7e90512618a76d77
2026-08-01T21:31:21	Bicipiti e Braccia	EX336	Curl manubri un braccio seduto	curl-manubri-un-braccio-seduto	curl-concentrato-un-braccio-manubrio-seduto	Curl concentrato un braccio manubrio seduto.gif	87500c87ff3afae691c8da96c458ae2a59916300b40181a01dda69c9c0cda637
2026-08-01T21:31:31	Bicipiti e Braccia	EX336	Curl manubri un braccio seduto	curl-manubri-un-braccio-seduto	curl-concentrato-un-braccio-manubrio	Curl concentrato un braccio manubrio.gif	87500c87ff3afae691c8da96c458ae2a59916300b40181a01dda69c9c0cda637
2026-08-01T21:31:53	Bicipiti e Braccia	EX012	Curl cavo basso un braccio in piedi	curl-cavo-basso-un-braccio-in-piedi	curl-un-braccio-cavo-basso-in-piedi	Curl un braccio cavo basso in piedi.gif	bddea1462b8a760bc8d5d6301d77a0960c2b319ad546683384400858f088f655
2026-08-01T21:35:08	Bicipiti e Braccia	EX327	Curl concentrato cavo basso seduto	curl-concentrato-cavo-basso-seduto	curl-concentrato-un-braccio-cavo-basso	Curl concentrato un braccio cavo basso.gif	c9430d092472cef84cb741d7e9d5e25f87d0f1da389f05f8bc9f67b7ec373bac
2026-08-01T21:42:43	Bicipiti e Braccia	EX340	Flessione polso hammer un braccio appoggio su coscia seduto	flessione-polso-hammer-un-braccio-appoggio-su-coscia-seduto	flessione-hammer-polso-un-braccio-seduto	Flessione hammer polso un braccio seduto.gif	76d2f9181e49365147d84aac3c712db81686d168a250db5964ecdf9ed3c88778
2026-08-01T21:46:02	Bicipiti e Braccia	EX347	Flessione polso disco un braccio appoggio seduto	flessione-polso-disco-un-braccio-appoggio-seduto	flessione-polso-disco-un-braccio-appoggiato	Flessione polso disco un braccio appoggiato.gif	f77453f55da146c234df3893307cfbdc0fe7bb32b4f03a8830f1d3ed5ad2090c
2026-08-01T21:46:14	Bicipiti e Braccia	EX348	Flessione polso manubrio un braccio appoggio seduto	flessione-polso-manubrio-un-braccio-appoggio-seduto	flessione-polso-manubrio-un-braccio-appoggiato	Flessione polso manubrio un braccio appoggiato.gif	0dff9668e678728ade02683def5e03bd430ae7317e39ade3a01e31458cf6e449
2026-08-01T21:46:49	Bicipiti e Braccia	EX347	Flessione polso disco un braccio appoggio seduto	flessione-polso-disco-un-braccio-appoggio-seduto	flessione-polso-un-braccio-appoggiato-disco	Flessione polso un braccio appoggiato disco.gif	f77453f55da146c234df3893307cfbdc0fe7bb32b4f03a8830f1d3ed5ad2090c
2026-08-01T21:47:33	Bicipiti e Braccia	EX347	Flessione polso disco un braccio appoggio seduto	flessione-polso-disco-un-braccio-appoggio-seduto	flessione-polso-un-braccio-disco	Flessione polso un braccio disco.gif	f77453f55da146c234df3893307cfbdc0fe7bb32b4f03a8830f1d3ed5ad2090c
2026-08-01T21:47:38	Bicipiti e Braccia	EX348	Flessione polso manubrio un braccio appoggio seduto	flessione-polso-manubrio-un-braccio-appoggio-seduto	flessione-polso-un-braccio-manubrio	Flessione polso un braccio manubrio.gif	0dff9668e678728ade02683def5e03bd430ae7317e39ade3a01e31458cf6e449
2026-08-01T21:53:12	Bicipiti e Braccia	EX347	Flessione polso disco un braccio appoggio seduto	flessione-polso-disco-un-braccio-appoggio-seduto	flessione-polso-disco	Flessione polso disco.gif	f77453f55da146c234df3893307cfbdc0fe7bb32b4f03a8830f1d3ed5ad2090c
2026-08-01T21:53:23	Bicipiti e Braccia	EX348	Flessione polso manubrio un braccio appoggio seduto	flessione-polso-manubrio-un-braccio-appoggio-seduto	flessione-polso-manubrio	Flessione polso manubrio.gif	0dff9668e678728ade02683def5e03bd430ae7317e39ade3a01e31458cf6e449
2026-08-02T14:59:04	Bicipiti e Braccia	EX315	Curl manubri panca inclinata	curl-manubri-panca-inclinata	curl-rotazione-manubri-panca-inclinata	Curl rotazione manubri panca inclinata.gif	b791447344f8fe1e44eff1d7a0cbc393e2e58ab66cc0b56432963aad30072ed3
2026-08-02T18:49:51	Cardio e Conditioning	EX588	Boxe diretto sacco	boxe-diretto-sacco	boxe-diretto-alternato-sacco	Boxe diretto alternato sacco.gif	f09679bc4e2443430734210c6347416d1ee8db5c66f5dda09ab16601f04a049c
2026-08-02T18:51:27	Cardio e Conditioning	EX589	Boxe diretto	boxe-diretto	boxe-diretto-alternato	Boxe diretto alternato.gif	39773120a5975eabdbe9761cc390e2f20df43b15221fb628ec08e530a83f5a1e
2026-08-02T18:52:25	Cardio e Conditioning	EX588	Boxe diretto sacco	boxe-diretto-sacco	boxe-diretto-al-sacco	Boxe diretto al sacco.gif	f09679bc4e2443430734210c6347416d1ee8db5c66f5dda09ab16601f04a049c
2026-08-02T18:57:47	Cardio e Conditioning	EX053	Boxe diretti alternati	boxe-diretti-alternati	boxe-pugni-alternati	Boxe pugni alternati.gif	c33c8c8ffd956d844aec76da14aed626159a5923a7f8ed0d9a965b917701bb99
2026-08-02T19:04:39	Cardio e Conditioning	EX598	Corsa zigzag conetti	corsa-zigzag-conetti	corsa-zigzag-con-conetti	Corsa zigzag con conetti.gif	b0b7a875ad6652b6ff7595b788c1769cd630a027b42cc9c73bc0f13b92fb9320
2026-08-02T19:05:58	Cardio e Conditioning	EX599	Corsa laterale scaletta agilità	corsa-laterale-scaletta-agilita	corsa-laterale-agile-con-scaletta	Corsa laterale agile con scaletta.gif	2bbbf4d8c436bda829c556e34f906d0799e2325ca84eeac6a261e99224881f07
2026-08-02T19:09:47	Cardio e Conditioning	EX610	Jumping rimbalzi	jumping-rimbalzi	jumping-rimbalzato	Jumping rimbalzato.gif	2a8d176a026434c3b5c8ddcaf0495237e8bcb4fab76a95b5ff0c40a5f09de940
2026-08-03T06:40:29	Gambe e Glutei	EX259	Squat cavi doppi bassi	squat-cavi-doppi-bassi	squat-cavi-bassi	Squat cavi bassi.gif	312a834ecbd28e0dce80d2c2313590dae1c70e49e4791b0cbf55d2dbcef2772b
2026-08-03T06:42:58	Gambe e Glutei	EX647	Squat calcio laterale tocco tallone	squat-calcio-laterale-tocco-tallone	squat-calcio-laterale	Squat calcio laterale.gif	8678172072528fb0150ffca39c5fd3c68d445cf20e8a4d9d75c0aaea9472f753
2026-08-03T06:46:31	Gambe e Glutei	EX081	Squat frontale bilanciere	squat-frontale-bilanciere	squat-bilanciere-frontale	Squat bilanciere frontale.gif	e6605bcdad3f6579d265e0d2d0bb69efbb2ff7e6dc2067d954619c89f7413e6e
2026-08-03T06:48:21	Gambe e Glutei	EX645	Squat goblet kettlebell elastico	squat-goblet-kettlebell-elastico	squat-goblet-kettlebell-banda	Squat goblet kettlebell banda.gif	79aef9ca93ec5cac7ab66d2c5dbc7df03e8cc680af566f85cb2817601d7d924b
2026-08-03T06:49:19	Gambe e Glutei	EX262	Squat hack machine inverso	squat-hack-machine-inverso	squat-inverso-hack-machine	Squat inverso hack machine.gif	75328f32765c95024ca5c537ccd38b7c1bf80c77194d6624bb839445823c7d9f
2026-08-03T06:50:22	Gambe e Glutei	EX045	Squat parete fitball corpo libero	squat-parete-fitball-corpo-libero	squat-parete-fitball	Squat parete fitball.gif	6ba72710aed06cd82a34d53c5f6fe1e0f34aa80d70570a8403da04bc5e41a1cb
2026-08-03T11:43:54	Gambe e Glutei	EX274	Squat su panca manubri	squat-su-panca-manubri	squat-manubri-seduto-su-panca	Squat manubri seduto su panca.gif	b66a750d54c81cfbb67564ccb2685e720b21d203fde5deca84679b38d41c69e9
2026-08-03T11:45:01	Gambe e Glutei	EX275	Squat sumo corpo libero braccia distese	squat-sumo-corpo-libero-braccia-distese	squat-sumo-corpo-libero	Squat sumo corpo libero.gif	41ca83090ef0db41dac62df77a8519c30f8bba6b32095d86bba7b53ebbd74572
2026-08-03T11:48:07	Gambe e Glutei	EX655	Squat wall sit inclinazione alternato	squat-wall-sit-inclinazione-alternato	squat-wall-sit-inclinazione-alternata	Squat wall sit inclinazione alternata.gif	1a35a3fe2f3b857ae0464ad22cd4958ba5ed49a185719a7d157ae4fcc99af38a
2026-08-03T11:49:26	Gambe e Glutei	EX651	Squat wall ball palla medica	squat-wall-ball-palla-medica	squat-wall-palla-medica	Squat wall palla medica.gif	710f513cf7df6749f80653e9e87dc022f047eb426f0ea4bd5238d538877c3612
2026-08-03T11:51:02	Gambe e Glutei	EX045	Squat parete fitball corpo libero	squat-parete-fitball-corpo-libero	squat-wall-fitball	Squat wall fitball.gif	6ba72710aed06cd82a34d53c5f6fe1e0f34aa80d70570a8403da04bc5e41a1cb
2026-08-03T11:51:59	Gambe e Glutei	EX266	Squat bilanciere sumo	squat-bilanciere-sumo	squat-sumo-bilanciere	Squat sumo bilanciere.gif	d2bb04e1246596210448c7666bd6e48e1be9e4cebdeea4c0ff836153b5a1601f
2026-08-03T11:53:37	Gambe e Glutei	EX047	Squat bulgaro unilaterale a corpo libero	squat-bulgaro-unilaterale-a-corpo-libero	squat-bulgaro-a-corpo-libero	Squat bulgaro a corpo libero.gif	28dd4732693d7d04fdafa88db627dd12e38dd0671a59b0dd3bf1e56ff835d599
2026-08-03T11:57:24	Gambe e Glutei	EX047	Squat bulgaro unilaterale a corpo libero	squat-bulgaro-unilaterale-a-corpo-libero	squat-bulgaro-corpo-libero	Squat bulgaro corpo libero.gif	28dd4732693d7d04fdafa88db627dd12e38dd0671a59b0dd3bf1e56ff835d599
2026-08-03T14:49:36	Gambe e Glutei	EX643	Squat pistol al box	squat-pistol-al-box	pistol-squat-al-box	Pistol squat al box.gif	96f55e295049a643332324a8fbe7f8049b54dd3fbb121c464018916b10ec04a4
2026-08-03T14:52:22	Gambe e Glutei	EX643	Squat pistol al box	squat-pistol-al-box	pistol-squat-su-box	Pistol squat su box.gif	96f55e295049a643332324a8fbe7f8049b54dd3fbb121c464018916b10ec04a4
2026-08-03T14:59:31	Gambe e Glutei	EX015	Affondo alternato corpo libero	affondo-alternato-corpo-libero	affondo-corpo-libero-sul-posto	Affondo corpo libero sul posto.gif	c200128141d1be1956108ec277f6cf44565152f36682f23bf3df7eb8f9777001
2026-08-03T15:00:58	Gambe e Glutei	EX015	Affondo alternato	affondo-alternato	affondo-avanti-alternato	Affondo avanti alternato.gif	e7c875251c94a43e7a7606b6e062338cb68dfd5680461ff0af4eab1a6aa55ea9
2026-08-03T15:24:20	Gambe e Glutei	EX214	Affondo bilanciere	affondo-bilanciere	affondo-bilanciere-sul-posto	Affondo bilanciere sul posto.gif	1520562ea588eec8b3724f02472a050f41e66d0a382088a9b75e263693066683
2026-08-03T15:27:20	Gambe e Glutei	EX039	Affondo posteriore	affondo-posteriore	affondo-indietro-manubri	Affondo indietro manubri.gif	b72a1e6cf4fdd01f8f30e6769e039678bbf9e724796db8938743d78a33fcb476
2026-08-03T15:29:08	Gambe e Glutei	EX637	Affondo laterale	affondo-laterale	affondo-laterale-alternato	Affondo laterale alternato.gif	42049265076674d662e70b46efeb83bbad46796f76f3172acbaa0e35d4844b8c
2026-08-03T15:30:57	Gambe e Glutei	EX633	Affondo split maniglie elastico	affondo-split-maniglie-elastico	affondo-maniglie-elastico-sul-posto	Affondo maniglie elastico sul posto.gif	7d11efd0eaef29bc0a76539aa48caa720e2f5df4a03e4c099d693ac70b719972
2026-08-03T15:36:39	Gambe e Glutei	EX642	Leg press elastico supino alternato	leg-press-elastico-supino-alternato	leg-press-alternato-barra-elastico-supino	Leg press alternato barra elastico supino.gif	20162d5031162702b4b9dac80e9296b8584b342ed6d1103e97a932582c764b85
2026-08-03T15:37:57	Gambe e Glutei	EX249	Leg press 45 gradi entrambe le gambe	leg-press-45-gradi-entrambe-le-gambe	leg-press-45-gradi	Leg press 45 gradi.gif	8df5f83c669593ebe552cef07e968c55215addc14e0ff8a45f2c57000a4c227d
2026-08-03T15:48:14	Gambe e Glutei	EX640	Hip hinge monopodalico elastico	hip-hinge-monopodalico-elastico	stacco-rumeno-una-gamba-maniglie-elastico	Stacco rumeno una gamba maniglie elastico.gif	71966d49b0618b868e2d563e52f723fe8a435c6fbecb028e40199c0b173ce415
2026-08-03T15:50:40	Gambe e Glutei	EX652	Stacco monopodalico	stacco-monopodalico	stacco-rumeno-una-gamba	Stacco rumeno una gamba.gif	3a3d0c676837b5a88739ff2a73561742db542f346884bea20cbff64637d32711
2026-08-03T15:51:25	Gambe e Glutei	EX287	Stacco rumeno una gamba corpo libero palla medica	stacco-rumeno-una-gamba-corpo-libero-palla-medica	stacco-rumeno-una-gamba-palla-medica	Stacco rumeno una gamba palla medica.gif	e874d1e8ebf510af12771ecbf13641202d00f611565b0934fc909b699a8021ee
2026-08-03T16:01:22	Gambe e Glutei	EX096	Flessione nordica corpo libero	flessione-nordica-corpo-libero	flessione-nordica	Flessione nordica.gif	a618650368f6b351b0b04d6845cc7253a241bf018d9ccc1549f65b2c645b9264
2026-08-03T16:28:41	Gambe e Glutei	EX096	Flessione nordica corpo libero	flessione-nordica-corpo-libero	nordic-curl-panca-romana	Nordic curl panca romana.gif	a618650368f6b351b0b04d6845cc7253a241bf018d9ccc1549f65b2c645b9264
