sha256	codice_reale	codice_registro	codici_concordano	nome_file_mac	cartella_mac	nome_in_decisioni	nome_catalogo	stato	impronta_da	nota
9cdbe942eb84f0ef7af7d1f8150814f77084568d4d67c0ff2ad7d4b247338855	EX591	EX592	NO	Boxe gancio.gif	Cardio e Conditioning	Boxe gancio	Boxe gancio	sincronizzato	nome originale	
5e5d92ecdc691ac195091f17b4863e345d1d9fa481dd6b9f7680cc65dd11e27e	EX592	EX593	NO	Boxe jab.gif	Cardio e Conditioning	Boxe jab	Boxe jab	sincronizzato	nome originale	
506fad868b9713f2001f6cd71c70695760d3fe4b13b7b834a5d7102740acff4c	EX594	EX594	si	Burpee Nave Seal.gif	Cardio e Conditioning	Burpee navy seal	Burpee navy seal	sincronizzato	nome deciso	"file gia rinominato in ""Burpee navy seal.gif"""
2bdd6be621bed916634c598e5026065a4b657a0bb4602114303a4bd02193005a	EX593	EX595	NO	Burpees.gif	Cardio e Conditioning	Burpee	Burpee	sincronizzato	nome deciso	"file gia rinominato in ""Burpee.gif"""
12ba864e38b5b2452b69021658100f53db5deaf6ab73c59032135bfeecbf2092	EX596	EX596	si	Camminata bear crawl.gif	Cardio e Conditioning	Camminata bear crawl	Camminata bear crawl	sincronizzato	nome originale	
c9c64a4db3b609aa8f21639a57fb0788e55c8988d89f7e98453db3e2842421f0	EX598	EX597	NO	Corsa all indietro.gif	Cardio e Conditioning	Corsa all'indietro	Corsa all'indietro	sincronizzato	nome deciso	"file gia rinominato in ""Corsa all'indietro.gif"""
c9c64a4db3b609aa8f21639a57fb0788e55c8988d89f7e98453db3e2842421f0	EX598	EX598	si	Corsa conetti zigzag.gif	Cardio e Conditioning	Corsa zigzag conetti	Corsa all'indietro	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Corsa all'indietro.gif"""
2bbbf4d8c436bda829c556e34f906d0799e2325ca84eeac6a261e99224881f07	EX600	EX599	NO	Corsa laterale scaletta agilita.gif	Cardio e Conditioning	Corsa laterale scaletta agilità	Corsa laterale scaletta agilità	sincronizzato	nome deciso	"file gia rinominato in ""Corsa laterale scaletta agilità.gif"""
b7c21e0a1e78b3fcf727a6e72d3f94002327e3a193779909c2bfee6654e42eb6	EX614	EX600	NO	Spostamento laterale con tocco a terra.gif	Cardio e Conditioning	Spostamento laterale con tocco a terra	Spostamento laterale con tocco a terra	sincronizzato	nome originale	path stale corretto (JSON: Corsa laterale touch.gif)
982159ddd1a222150609b1e0619a8aa5fa96e87f504c7cefe7ca030b04799c7b	EX601	EX601	si	Corsa passi corti.gif	Cardio e Conditioning	Corsa passi corti	Corsa passi corti	sincronizzato	nome originale	
a60d810d7011b88d08973a027d7fe3674d8eb473fe55d5768fa23a44862ec4d5	EX599	EX602	NO	Corsa rapida.gif	Cardio e Conditioning	Corsa falcata lunga	Corsa falcata lunga	sincronizzato	nome deciso	"file gia rinominato in ""Corsa falcata lunga.gif"""
862c4e408937cbdeeacb676e5d627bc9ea6ab96bade28e1847c194782f226423	EX602	EX603	NO	Corsa resistenza elastico.gif	Cardio e Conditioning	Corsa resistenza con elastico	Corsa resistenza con elastico	sincronizzato	nome deciso	"file gia rinominato in ""Corsa resistenza con elastico.gif"""
36e3cb067bdce3939ccbcef93cf0b581dd329696a706e3ecb32f9ebdbaf8cfb8	EX603	EX604	NO	Corsa scaletta agilita.gif	Cardio e Conditioning	Corsa scaletta agilità	Corsa scaletta agilità	sincronizzato	nome deciso	"file gia rinominato in ""Corsa scaletta agilità.gif"""
f133f97fc367c7b6743298a7b65049499531fd45bf64fdcb497d685d0d885768	EX604	EX605	NO	Corsa sforbiciata.gif	Cardio e Conditioning	Corsa sforbiciata	Corsa sforbiciata	sincronizzato	nome originale	
b0ae0b2f226b265e0a382fe7fc980b72199a5c560d7607b4a1d7b7b45648e562	EX605	EX606	NO	Corsa sul posto.gif	Cardio e Conditioning	Corsa sul posto	Corsa sul posto	sincronizzato	nome originale	
c7a82eb585354f94f3eaed0e253cb6a9205d152948e4dab3759f3cc0cdd60e0f	EX595	EX607	NO	Calcio circolare sacco.gif	Cardio e Conditioning	Calcio circolare sacco	Calcio circolare sacco	sincronizzato	nome originale	
34de9d3bfa8b43956719063a299ae97c008f2eccec27d0ea970cfb6b3431a6f1	EX607	EX608	NO	Jumping jack.gif	Cardio e Conditioning	Jumping jack	Jumping jack	sincronizzato	nome originale	
e1e4307e26326e56dcf7574c67cd386015659c7bef39de23d926a33ef8f85145	EX609	EX609	si	Squat Pistol box jump.gif	Gambe e Glutei	Pistol jump box	Salti laterali rapidi	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Salti laterali rapidi.gif"""
938e241230b22295e63e5ba0f995bda211a6c10512e077260e77fb33f285e024	EX610	EX610	si	Saltelli caviglie.gif	Cardio e Conditioning	Jumping rimbalzi	Salto con la corda	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Salto con la corda.gif"""
a62c3447813ba7c3b0fb9e0df922a9bcde2158c0a205154c5684a1c298948f26	EX618	EX611	NO	Salto all'indietro.gif	Gambe e Glutei	Salto all'indietro	Salto all'indietro	sincronizzato	nome originale	
938e241230b22295e63e5ba0f995bda211a6c10512e077260e77fb33f285e024	EX610	EX612	NO	Salto con la corda.gif	Cardio e Conditioning	Salto con la corda	Salto con la corda	sincronizzato	nome originale	
69357ea415b70ff9f18669587f8cd3cad959d6daa6d73d0a912c8cbe4862062b	EX613	EX613	si	Salto monopodalico in avanti.gif	Gambe e Glutei	Salto monopodalico avanti	Skip sul posto	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Skip sul posto.gif"""
22695a0973033165dfbe2ae1a4a3525a35d623396f36ccec47b8902da103da3d	EX622	EX614	NO	Salto verticale esplosivo.gif	Gambe e Glutei	Salto verticale esplosivo	Salto verticale esplosivo	sincronizzato	nome originale	
3e4760a6950fcfb1842d201a3ae824f0dcffd42d08967fffe1080c4ddc46049c	EX611	EX615	NO	Skip alto con calcio.gif	Cardio e Conditioning	Skip con calcio	Skip con calcio	sincronizzato	nome deciso	"file gia rinominato in ""Skip con calcio.gif"""
15ca4f48e0b6e3964a91e5428bbd8c7fcc9262e27f8d429cd4ae4d903796ecc5	EX049	EX616	NO	Skip ginocchie alte sul posto.gif	Cardio e Conditioning	Skip ginocchia alte	Skip ginocchia alte	sincronizzato	nome deciso	"file gia rinominato in ""Skip ginocchia alte.gif"""
3f0a415a4e9828e08871a1a6fd88692df6fcf922b01e41c0516d86e22109cf1c	EX612	EX617	NO	Skip power.gif	Cardio e Conditioning	Skip power	Skip power	sincronizzato	nome originale	
69357ea415b70ff9f18669587f8cd3cad959d6daa6d73d0a912c8cbe4862062b	EX613	EX618	NO	Skip sul posto.gif	Cardio e Conditioning	Skip sul posto	Skip sul posto	sincronizzato	nome originale	
a4902c6783e703d37906e850fc12f1bc97718ab584adcf250140ff3419b8de31	EX619	EX619	si	Squat jump ginocchia alte.gif	Gambe e Glutei	Squat jump ginocchia alte	Squat jump ginocchia alte	sincronizzato	nome originale	
eddad0e20b02c66f70f506afa6b6b0dc66bfd3a6f3b310949cd37787cffb97a1	EX620	EX620	si	Squat thrust.gif	Gambe e Glutei	Squat thrust	Squat thrust	sincronizzato	nome originale	
617cb4cb2139d7db8a4ba5de12a2f1f3d3f3137678d747bead589e25b56af8a5		EX621	?	Lanci rotazionali palla medica muro in piedi.gif	Addominali e Core	Lancio rotazionale palla medica al muro		sincronizzato	nome deciso	"file gia rinominato in ""Lancio rotazionale palla medica al muro.gif"""
a1e9102505f3dbaafea28c77da841f7495428e2cdc5a66e6e9215d30544c4907		EX622	?	Push up T prono.gif	Addominali e Core	Piegamenti con rotazione a T		sincronizzato	nome deciso	"file gia rinominato in ""Piegamenti con rotazione a T.gif"""
f091bb852bb3acc0048f2ecab0fdda74f3c2372f71e42fbc37755458b775b9a2		EX623	?	Retroversione bacino supino.gif	Addominali e Core	Retroversione bacino da supino		sincronizzato	nome deciso	"file gia rinominato in ""Retroversione bacino da supino.gif"""
406717a98963c46b8d6a638d738d49fe1a78f3ec3a949eeb468ebc68a908b6b9		EX624	?	Torsione busto gomiti alti in piedi.gif	Addominali e Core	Torsione busto gomiti alti in piedi		sincronizzato	nome originale	
9cf0d29aa0f7a9164b50442a2aa752ada10ce315e552bf309c118a7f7bd60cfd	EX625	EX625	si	Abduzione Clamshell decubito laterale.gif	Gambe e Glutei	Abduzione clamshell decubito laterale	Abduzione clamshell decubito laterale	sincronizzato	nome originale	
a3c6ef8292fcd0d17e17a4b137d39ae6cac1ec07262b4f8e5d4f0f2c7a6c767f	EX626	EX626	si	Abduzione Clamshell elastico decubito laterale.gif	Gambe e Glutei	Abduzione clamshell elastico decubito laterale	Abduzione clamshell elastico decubito laterale	sincronizzato	nome originale	
36591f7540ab08a2bcbe24449da7731e89e7119b12a546bcc20e5fbb84a8148d	EX627	EX627	si	Abduzione anca decubito laterale.gif	Gambe e Glutei	Abduzione anca decubito laterale	Abduzione anca decubito laterale	sincronizzato	nome originale	
87f4ee85172f30be9424a03edadc54cf2bf029d471b4fd71b0c542d496fff371	EX628	EX628	si	Abduzione fire hydrant elastico quadrupedia.gif	Gambe e Glutei	Abduzione fire hydrant elastico quadrupedia	Abduzione fire hydrant elastico quadrupedia	sincronizzato	nome originale	
e5d41dae55dd5ca517472921fb792caf11a1467dc6d161cba40a91fd6f2517a8	EX629	EX629	si	Abduzione fire hydrant quadrupedia.gif	Gambe e Glutei	Abduzione fire hydrant quadrupedia	Abduzione fire hydrant quadrupedia	sincronizzato	nome originale	
e564fed566cf957a976ad9bb00cecc71a7f06b23a769143f5cd6aead904a133a	EX631	EX631	si	Affondi inversi knee drive.gif	Gambe e Glutei	Affondo inverso con knee drive	Affondo inverso con knee drive	sincronizzato	nome deciso	"file gia rinominato in ""Affondo inverso con knee drive.gif"""
c52787af2dd05b77d22a5c0d902f75ccc7f6b5bd28c7796fb5be3fd2bfd41068	EX632	EX632	si	Affondo Bosu knee drive.gif	Gambe e Glutei	Affondo inverso Bosu con knee drive	Affondo inverso Bosu con knee drive	sincronizzato	nome deciso	"file gia rinominato in ""Affondo inverso Bosu con knee drive.gif"""
7d11efd0eaef29bc0a76539aa48caa720e2f5df4a03e4c099d693ac70b719972	EX633	EX633	si	Affondo Split maniglie elastico.gif	Gambe e Glutei	Affondo split maniglie elastico	Affondo maniglie elastico sul posto	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Affondo maniglie elastico sul posto.gif"""
071992bf16eccc3305771c9f9a6075b3a83c63f2bf3fba3ea7b58d0c2dd190ba	EX635	EX635	si	Affondo camminato knee drive.gif	Gambe e Glutei	Affondo camminato con knee drive	Affondo camminato con knee drive	sincronizzato	nome deciso	"file gia rinominato in ""Affondo camminato con knee drive.gif"""
249d59842be2bebb1397aee4461028ba5b345f2668ab7f347013a68c87869813	EX636	EX636	si	Affondo jump lunge.gif	Gambe e Glutei	Affondo jump lunge	Jumping split lunge	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Jumping split lunge.gif"""
42049265076674d662e70b46efeb83bbad46796f76f3172acbaa0e35d4844b8c	EX637	EX637	si	Affondo laterale.gif	Gambe e Glutei	Affondo laterale	Affondo laterale alternato	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Affondo laterale alternato.gif"""
615827e78ad806768b9deaa68d7f4f3e4f4be53724e2b3160c252175907096d1	EX638	EX638	si	Camminata laterale elastico caviglie.gif	Gambe e Glutei	Camminata laterale elastico caviglie	Camminata laterale elastico	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Camminata laterale elastico.gif"""
1805d106e06b98da16dabf757d6434eaaf81d0947b4284348d57d7be030464f6	EX639	EX639	si	Donkey kick elastico barra mani quadrupedia.gif	Gambe e Glutei	Donkey kick elastico quadrupedia	Donkey kick elastico quadrupedia	sincronizzato	nome deciso	"file gia rinominato in ""Donkey kick elastico quadrupedia.gif"""
71966d49b0618b868e2d563e52f723fe8a435c6fbecb028e40199c0b173ce415	EX640	EX640	si	Hip hinge maniglie elastico in piedi.gif	Gambe e Glutei	Hip hinge monopodalico elastico	Stacco rumeno una gamba maniglie elastico	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Stacco rumeno una gamba maniglie elastico.gif"""
70aa6e70da60bbcda01dcc948bfa5d18dad2b2f1d5754340adf68fe9322ee25d	EX641	EX641	si	Hip thrust elastico panca in ginocchio.gif	Gambe e Glutei	Hip thrust elastico in ginocchio	Hip thrust elastico in ginocchio	sincronizzato	nome deciso	"file gia rinominato in ""Hip thrust elastico in ginocchio.gif"""
20162d5031162702b4b9dac80e9296b8584b342ed6d1103e97a932582c764b85	EX642	EX642	si	Leg press alternato barra elastico piedi supino.gif	Gambe e Glutei	Leg press elastico supino alternato	Leg press alternato barra elastico supino	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Leg press alternato barra elastico supino.gif"""
96f55e295049a643332324a8fbe7f8049b54dd3fbb121c464018916b10ec04a4	EX643	EX643	si	Squat Pistol box.gif	Gambe e Glutei	Squat pistol al box	Pistol squat su box	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Pistol squat su box.gif"""
d323698d14233764d5922c7d01c4bffce78c33ad135da2a27fb2de5ef175a276	EX644	EX644	si	Reverse hyper elastico panca prono.gif	Gambe e Glutei	Reverse hyper elastico panca	Reverse hyper elastico panca piana	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Reverse hyper elastico panca piana.gif"""
79aef9ca93ec5cac7ab66d2c5dbc7df03e8cc680af566f85cb2817601d7d924b	EX645	EX645	si	Squat Goblet kettlebell elastico (Band Kettlebell Goblet Squat).gif	Gambe e Glutei	Squat goblet kettlebell elastico	Squat goblet kettlebell banda	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Squat goblet kettlebell banda.gif"""
21ffc120fe95b3122340eab79aac151f123bc49082f7d2ef71b3e2687fcb0452	EX646	EX646	si	Squat barra dritta elastico (Band Barbell Squat).gif	Gambe e Glutei	Squat barra elastico	Squat barra elastico	sincronizzato	nome deciso	"file gia rinominato in ""Squat barra elastico.gif"""
8678172072528fb0150ffca39c5fd3c68d445cf20e8a4d9d75c0aaea9472f753	EX647	EX647	si	Squat calcio laterale tocco tallone.gif	Gambe e Glutei	Squat calcio laterale tocco tallone	Squat calcio laterale	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Squat calcio laterale.gif"""
3927ec7c2413b5417cfe8e7c31dae52e83c35265d68e609a942d37c3a78cb82e	EX649	EX649	si	Squat elastico sopra la testa (Band Overhead Squat).gif	Gambe e Glutei	Squat elastico braccia alte	Squat elastico braccia alte	sincronizzato	nome deciso	"file gia rinominato in ""Squat elastico braccia alte.gif"""
8a324911f10953efb308af8b5f5b753e36a6736c3656270cc66c58e61c977fdb	EX650	EX650	si	Squat jump.gif	Gambe e Glutei	Squat jump	Squat jump	sincronizzato	nome originale	
710f513cf7df6749f80653e9e87dc022f047eb426f0ea4bd5238d538877c3612	EX651	EX651	si	Squat wall ball palla medica.gif	Gambe e Glutei	Squat wall ball palla medica	Squat wall ball palla medica	sincronizzato	nome originale	
3a3d0c676837b5a88739ff2a73561742db542f346884bea20cbff64637d32711	EX652	EX652	si	Stacco monopodalico.gif	Gambe e Glutei	Stacco monopodalico	Stacco rumeno una gamba	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Stacco rumeno una gamba.gif"""
3f4e83665a8d21dc754db8f23a69172a7fae07e10961dd619f7c8e4ed64f3018	EX653	EX653	si	Step up manubri curl bicipiti panca.gif	Gambe e Glutei	Step up manubri con curl bicipiti	Step up manubri con curl bicipiti	sincronizzato	nome deciso	"file gia rinominato in ""Step up manubri con curl bicipiti.gif"""
8985b3f51bdf676005206b9a4e679d9f79d7b0f10dc7db8c330f6b3cb8a58d31	EX654	EX654	si	Swing maniglie elastico barra piedi.gif	Gambe e Glutei	Swing elastico maniglie	Swing elastico maniglie	sincronizzato	nome deciso	"file gia rinominato in ""Swing elastico maniglie.gif"""
1a35a3fe2f3b857ae0464ad22cd4958ba5ed49a185719a7d157ae4fcc99af38a	EX655	EX655	si	Wall Sit inclinazione tronco.gif	Gambe e Glutei	Squat wall sit inclinazione alternato	Squat wall sit inclinazione alternata	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Squat wall sit inclinazione alternata.gif"""
63690910f82557d8f3da73c17aa5013e8c5eb92a278194cc0e35e36e3973205f		EX657	?	Adduzione spalla elastico un braccio in piedi.gif	Pettorali	Adduzione spalla elastico un braccio in piedi		sincronizzato	nome originale	
54c66b8e7214a21f45e6e4d7d2864416bcb209fa8d2f808102f9e94e53e54194		EX659	?	Calf raise maniglie elastico in piedi.gif	Polpacci	Calf raise elastico maniglie in piedi		sincronizzato	nome originale	
9259ab251bf8b9d6fa37b4bd488ca8dc17b52a2605b4444cc75c9397420fca78		EX660	?	Croci inverse elastico polsi busto flesso.gif	Schiena e Trapezio	Croci inverse elastico busto flesso		sincronizzato	nome originale	
f4a7a1e183449f1f50630a5b32080348ac3128557ee827a34040105517339abd		EX661	?	Croci inverse maniglie elastico barra piedi busto flesso.gif	Schiena e Trapezio	Croci inverse elastico maniglie busto flesso		sincronizzato	nome originale	
cf0c47c9340b495c3b5510774f451f5bb1724343fd7bca8ffdcd465d5d6e938a		EX662	?	Estensione spalla elastico in piedi.gif	Schiena e Trapezio	Estensione spalla elastico in piedi		sincronizzato	nome originale	
9cba2ff1ea152654ac6921b15f45431be902e42aad196bcc67620a68272c65fd		EX663	?	Lanci al petto palla medica muro in piedi.gif	Pettorali	Lancio al petto palla medica al muro		sincronizzato	nome originale	
6e0e2531a2f7950c679ef61e17c517a870d7f5739e16e06404d6537a8fa208e9		EX664	?	Lancio Slam palla medica.gif	Schiena e Trapezio	Lancio slam palla medica		sincronizzato	nome originale	
5217a2c6419e8676f60e82058fce28ed620431733963cb55cdb33ac867b415af		EX665	?	Lat machine maniglie elastico un ginocchio.gif	Schiena e Trapezio	Lat machine elastico maniglie in ginocchio		sincronizzato	nome originale	
2f7ea62966c47360e7bf2d9ff126659bb690033693153627ce9b53cc06da541a		EX666	?	Push up cobra prono.gif	Schiena e Trapezio	Piegamenti cobra prono		sincronizzato	nome originale	
3e4bea913d6ac9f0f0619204781ca1222ac45a4c2a7acc1aa55a97a699ecdf3a		EX667	?	Swimming prono.gif	Schiena e Trapezio	Swimming prono		sincronizzato	nome originale	
792ead4a9f78017b76cd4ad2cf7438bf52bfd338d37287a4c1d86fce92d45d0c		EX668	?	Alzate diagonali maniglia elastico barra ai piedi un braccio.gif	Spalle e Cuffia	Alzate diagonali elastico un braccio in piedi		sincronizzato	nome originale	
8e698f0f9396c5073c56d9c5fa1827ef113f9bbcdb565066ac76316efe1f1b58		EX669	?	Alzate diagonali maniglie elastico barra piedi.gif	Spalle e Cuffia	Alzate diagonali elastico maniglie in piedi		sincronizzato	nome originale	
e94b4ffcd69a50f4aaecf9f5ba012971a2157d2ecf3087351b11766638565574		EX670	?	Alzate laterali isometriche in piedi.gif	Spalle e Cuffia	Alzate laterali isometriche in piedi		sincronizzato	nome originale	
52091a992cd4dc1eeef5077be1d618ab886dda0de3b50456ab8190ab3074db6f		EX671	?	Incroci braccia in piedi.gif	Spalle e Cuffia	Incroci braccia in piedi		sincronizzato	nome originale	
6f8cbf7ef038019d394d6350a7997e232a63b224ad13fdd75c93be9fc33b600f		EX672	?	Lento avanti elastico seduto.gif	Spalle e Cuffia	Lento avanti elastico seduto		sincronizzato	nome originale	
081a4c74b0c1b191910c9d729b5d74f308a3736ea30bce6ccf748ec2fce8ac6d		EX673	?	Lento avanti isometrico in piedi.gif	Spalle e Cuffia	Lento avanti isometrico in piedi		sincronizzato	nome originale	
a087cad769fcd7edc4dc6b2f7760c3b7862a6b8aefe802e32a9007fda80d4552		EX674	?	Lento dietro barra elastico ai piedi.gif	Spalle e Cuffia	Lento dietro barra elastico ai piedi		sincronizzato	nome originale	
bde40879a5e65b8849f2be9cf9609c5ffaa339407cc51f559175e50b4d6dd4b5		EX675	?	Lento dietro maniglia elastico un braccio in piedi.gif	Spalle e Cuffia	Lento dietro maniglia elastico un braccio in piedi		sincronizzato	nome originale	
aa13a9a1a7bd8b3317a3b134ca231913cbc992dc9c3e9ab828f4115a4f3daae9			-	Squat croce di ferro manubri.gif	Spalle e Cuffia	Squat croce di ferro manubri		codice inesistente	nome originale	codice EX676 liberato il 2026-08-07: era prenotato e mai scritto a catalogo; si assegna al momento della scrittura
fe3c04275eca5b677ae3554bd2093a2413125ed7a129533f7fa67b8931582f26			-	Squat lanci palla un braccio in piedi.gif	Spalle e Cuffia	Squat con lancio palla un braccio		codice inesistente	nome originale	codice EX677 liberato il 2026-08-07: era prenotato e mai scritto a catalogo; si assegna al momento della scrittura
0ffdfd458c4b6a45685fcdb6372e13f17b4c03332b5440afb716674a708862e2			-	Estensioni dietro maniglie elastico barra piedi busto flesso.gif	Tricipiti	Estensione tricipiti elastico busto flesso		codice inesistente	nome originale	codice EX678 liberato il 2026-08-07: era prenotato e mai scritto a catalogo; si assegna al momento della scrittura
e1ec80e2c7dc23a293db243dc811cc4d5c36c14864c4885aaec56ec776f39b3f			-	French press barra elastico piedi in piedi.gif	Tricipiti	French press elastico in piedi		codice inesistente	nome originale	codice EX679 liberato il 2026-08-07: era prenotato e mai scritto a catalogo; si assegna al momento della scrittura
4fdcea6b4931187c1c89a650d75be3dcdf8eb5c27f25dd2b22ac68113871485c			-	French press maniglie elastico panca piana supino.gif	Tricipiti	French press elastico maniglie panca piana		codice inesistente	nome originale	codice EX680 liberato il 2026-08-07: era prenotato e mai scritto a catalogo; si assegna al momento della scrittura
462a68d133cda885fab803ea0bb5810499f932707733429024188882a10e40aa			-	Pushdown maniglie elastico in piedi.gif	Tricipiti	Pushdown elastico maniglie in piedi		codice inesistente	nome originale	codice EX682 liberato il 2026-08-07: era prenotato e mai scritto a catalogo; si assegna al momento della scrittura
