codice	nome	nome_en	pattern	gruppo_target	attrezzo	luogo	muscoli	livello	uso	zone_rischio	adattamento	alternativa	setup	esecuzione	errori	nota_sicurezza	surrogato_attrezzo	nota_surrogato	esecuzione_surrogato	errori_surrogato	gif_slug
EX644	Reverse hyper elastico panca			glutei	elastico;panca																reverse-hyper-elastico-panca
EX645	Squat goblet kettlebell elastico			quadricipiti	kettlebell;elastico																squat-goblet-kettlebell-elastico
EX646	Squat barra elastico			quadricipiti	sbarra;elastico																squat-barra-elastico
EX647	Squat calcio laterale tocco tallone			quadricipiti	corpo libero																squat-calcio-laterale-tocco-tallone
EX648	Squat cosacco			quadricipiti	corpo libero																squat-cosacco
EX649	Squat elastico braccia alte			quadricipiti	elastico																squat-elastico-braccia-alte
EX650	Squat jump			quadricipiti	corpo libero																squat-jump
EX651	Squat wall ball palla medica			quadricipiti	palla medica																squat-wall-ball-palla-medica
EX652	Stacco monopodalico			ischiocrurali	corpo libero																stacco-monopodalico
EX653	Step up manubri con curl bicipiti			quadricipiti	manubri;panca																step-up-manubri-con-curl-bicipiti
EX654	Swing elastico maniglie			glutei	elastico;maniglie																swing-elastico-maniglie
EX655	Squat wall sit inclinazione alternato			quadricipiti	corpo libero																squat-wall-sit-inclinazione-alternato
EX656	Squat wall sit			quadricipiti	corpo libero																squat-wall-sit
EX657	Adduzione spalla elastico un braccio in piedi			petto	elastico																adduzione-spalla-elastico-un-braccio-in-piedi
EX658	Chest press elastico maniglie in piedi			petto	elastico;maniglie																chest-press-elastico-maniglie-in-piedi
EX659	Calf raise elastico maniglie in piedi			polpacci	elastico;maniglie																calf-raise-elastico-maniglie-in-piedi
EX660	Croci inverse elastico busto flesso			deltoidi posteriori	elastico																croci-inverse-elastico-busto-flesso
EX661	Croci inverse elastico maniglie busto flesso			deltoidi posteriori	elastico;maniglie																croci-inverse-elastico-maniglie-busto-flesso
EX662	Estensione spalla elastico in piedi			dorsali	elastico																estensione-spalla-elastico-in-piedi
EX663	Lancio al petto palla medica al muro			petto	palla medica																lancio-al-petto-palla-medica-al-muro
EX664	Lancio slam palla medica			dorsali	palla medica																lancio-slam-palla-medica
EX665	Lat machine elastico maniglie in ginocchio			dorsali	elastico;maniglie																lat-machine-elastico-maniglie-in-ginocchio
EX666	Piegamenti cobra prono			lombari	corpo libero																piegamenti-cobra-prono
EX667	Swimming prono			lombari	corpo libero																swimming-prono
EX668	Alzate diagonali elastico un braccio in piedi			deltoidi anteriori	elastico;maniglie																alzate-diagonali-elastico-un-braccio-in-piedi
EX669	Alzate diagonali elastico maniglie in piedi			deltoidi anteriori	elastico;maniglie																alzate-diagonali-elastico-maniglie-in-piedi
EX670	Alzate laterali isometriche in piedi			deltoidi laterali	corpo libero																alzate-laterali-isometriche-in-piedi
EX671	Incroci braccia in piedi			deltoidi anteriori	corpo libero																incroci-braccia-in-piedi
EX672	Lento avanti elastico seduto			deltoidi anteriori	elastico;maniglie																lento-avanti-elastico-seduto
EX673	Lento avanti isometrico in piedi			deltoidi anteriori	corpo libero																lento-avanti-isometrico-in-piedi
EX674	Lento dietro barra elastico ai piedi			deltoidi anteriori	sbarra;elastico																lento-dietro-barra-elastico-ai-piedi
EX675	Lento dietro maniglia elastico un braccio in piedi			deltoidi anteriori	elastico;maniglie																lento-dietro-maniglia-elastico-un-braccio-in-piedi
EX676	Squat croce di ferro manubri			deltoidi laterali	manubri																squat-croce-di-ferro-manubri
EX677	Squat con lancio palla un braccio			deltoidi anteriori	palla medica																squat-con-lancio-palla-un-braccio
EX678	Estensione tricipiti elastico busto flesso			tricipiti	elastico;maniglie																estensione-tricipiti-elastico-busto-flesso
EX679	French press elastico in piedi			tricipiti	elastico																french-press-elastico-in-piedi
EX680	French press elastico maniglie panca piana			tricipiti	elastico;maniglie;panca																french-press-elastico-maniglie-panca-piana
EX681	Pushdown elastico in piedi			tricipiti	elastico																pushdown-elastico-in-piedi
EX682	Pushdown elastico maniglie in piedi			tricipiti	elastico;maniglie																pushdown-elastico-maniglie-in-piedi
EX115	Spostamento laterale rapido		cardio_metabolico		corpo libero	casa;libero;palestra	gambe;glutei;cardio		finisher	ginocchia;caviglie	ginocchia/caviglie: spostamenti più lenti, range ridotto, mantieni la posizione atletica senza accovacciarti troppo	EX050	Posizione atletica, ginocchia morbide	Spostati lateralmente con passi rapidi;Resta basso;Cambia direzione	Busto alto;Piedi che si incrociano;Spalle che oscillano	Posizione atletica mantenuta: ginocchia morbide, bacino basso, busto eretto. I piedi non si incrociano mai					spostamento-laterale-rapido
EX114	Corsa calciata sul posto		cardio_metabolico		corpo libero	casa;libero;palestra	ischiocrurali;polpacci;cardio		finisher	ginocchia	ginocchia: versione marcia lenta, talloni verso glutei senza saltare; atterraggio sempre sulle punte	EX049	In piedi sul posto o in avanzamento	Porta i talloni verso i glutei in rapida successione;Busto eretto;Ritmo costante	Busto piegato;Falcata troppo ampia;Spalle rigide	Versione marcia (basso impatto): atterraggio sulle punte, busto eretto. Aumenta gradualmente il ritmo					corsa-calciata-sul-posto
EX113	Salto in lungo da fermo		cardio_metabolico		corpo libero	casa;libero;palestra	gambe;glutei;polpacci	intermedio	finisher	ginocchia	alto impatto: atterra morbido piegando le ginocchia	EX052	In piedi, piedi alla larghezza delle anche	Salta in avanti il piu lontano possibile;Atterra morbido in mezzo squat;Stabilizza	Atterraggio rigido;Squilibrio in atterraggio;Ginocchia che collassano	Atterraggio in mezzo squat con ginocchia in linea con i piedi. Evitare con problemi a ginocchia					salto-in-lungo-da-fermo
EX112	Squat jump box		cardio_metabolico		corpo libero	casa;libero;palestra	gambe;glutei;polpacci	intermedio	finisher	ginocchia	alto impatto: scegli un box basso, scendi a passo non saltando giu	EX033	In piedi davanti a un box stabile	Salta sul box atterrando morbido;Estendi anche e ginocchia in cima;Scendi a passo	Atterraggio rigido;Box troppo alto;Scendere saltando	Evitare con problemi a ginocchia o caviglie. Atterraggio SEMPRE morbido sulle punte con ginocchia che cedono					squat-jump-box
EX036	Bird dog		core	core anti-rotazione	corpo libero	casa;libero;palestra	core;lombari;glutei;deltoide posteriore	principiante;intermedio;avanzato	principale	lombare	Se lombare sensibile ROM ridotto (estensione parziale di braccio e gamba)	EX021	A quattro zampe (mani sotto le spalle, ginocchia sotto le anche), schiena neutra, core attivo	Estendi braccio e gamba opposti fino a formare una linea;Pausa breve in massima estensione;Ritorno controllato, alterna lato;Respira normalmente, non bloccare il fiato	Schiena che si inarca durante l'estensione;Anche che ruotano apertamente;Movimento veloce senza controllo	Anti-estensione: la colonna deve restare neutra durante tutto il movimento					bird-dog
EX118	Plank inchworm		mobilita		corpo libero	casa;libero;palestra	catena posteriore;core;spalle	principiante	riscaldamento	lombare;polsi	lombare: ginocchia morbide durante la flessione; polsi: usa le nocche se i polsi sono sensibili	EX029	In piedi, gambe tese	Piegati e cammina con le mani fino al plank;Cammina indietro;Risali	Ginocchia troppo piegate;Bacino che cede in plank;Fretta	Lombare: gambe leggermente piegate durante la camminata con le mani se gli ischiocrurali sono rigidi. Polsi: peso distribuito su tutta la mano					plank-inchworm
EX110	Superman		core	lombari	corpo libero	casa;libero;palestra	erettori spinali;glutei;catena posteriore	principiante	principale;finisher	lombare;cervicale	catena posteriore: solleva senza strappo, sguardo a terra	EX036	Prono a terra, braccia distese avanti	Solleva braccia e gambe contemporaneamente;Tieni 1-2 sec;Discesa controllata	Iperestensione del collo;Strappo;Apnea	Cervicale: sguardo al pavimento, non alzare la testa. Lombare: il sollevamento viene dalla catena posteriore, non dall'inarcamento					superman
